,ID,SS,SV,Verse1,TS,TV,Verse2,Label
0,1,1,1,بسم الله الرحمن الرحيم,1,2,الحمد لله رب العالمين,2
1,2,1,1,بسم الله الرحمن الرحيم,1,3,الرحمن الرحيم,1
2,3,1,1,بسم الله الرحمن الرحيم,1,4,مالك يوم الدين,0
3,4,1,1,بسم الله الرحمن الرحيم,3,1,الم,0
4,5,1,1,بسم الله الرحمن الرحيم,3,2,الله لا إله إلا هو الحي القيوم,0
5,6,1,1,بسم الله الرحمن الرحيم,4,78,أينما تكونوا يدرككم الموت ولو كنتم في بروج مشيدة وإن تصبهم حسنة يقولوا هذه من عند الله وإن تصبهم سيئة يقولوا هذه من عندك قل كل من عند الله فمال هؤلاء القوم لا يكادون يفقهون حديثا,0
6,7,1,1,بسم الله الرحمن الرحيم,6,3,وهو الله في السماوات وفي الأرض يعلم سركم وجهركم ويعلم ما تكسبون,0
7,8,1,1,بسم الله الرحمن الرحيم,6,14,قل أغير الله أتخذ وليا فاطر السماوات والأرض وهو يطعم ولا يطعم قل إني أمرت أن أكون أول من أسلم ولا تكونن من المشركين,0
8,9,1,1,بسم الله الرحمن الرحيم,7,180,ولله الأسماء الحسنى فادعوه بها وذروا الذين يلحدون في أسمائه سيجزون ما كانوا يعملون,1
9,10,1,1,بسم الله الرحمن الرحيم,9,128,لقد جاءكم رسول من أنفسكم عزيز عليه ما عنتم حريص عليكم بالمؤمنين رءوف رحيم,0
10,11,1,1,بسم الله الرحمن الرحيم,11,41,وقال اركبوا فيها بسم الله مجراها ومرساها إن ربي لغفور رحيم,2
11,12,1,1,بسم الله الرحمن الرحيم,13,28,الذين آمنوا وتطمئن قلوبهم بذكر الله ألا بذكر الله تطمئن القلوب,0
12,13,1,1,بسم الله الرحمن الرحيم,14,1,الر كتاب أنزلناه إليك لتخرج الناس من الظلمات إلى النور بإذن ربهم إلى صراط العزيز الحميد,0
13,14,1,1,بسم الله الرحمن الرحيم,14,2,الله الذي له ما في السماوات وما في الأرض وويل للكافرين من عذاب شديد,0
14,15,1,1,بسم الله الرحمن الرحيم,16,53,وما بكم من نعمة فمن الله ثم إذا مسكم الضر فإليه تجأرون,0
15,16,1,1,بسم الله الرحمن الرحيم,17,110,قل ادعوا الله أو ادعوا الرحمن أيا ما تدعوا فله الأسماء الحسنى ولا تجهر بصلاتك ولا تخافت بها وابتغ بين ذلك سبيلا,1
16,17,1,1,بسم الله الرحمن الرحيم,18,38,لكنا هو الله ربي ولا أشرك بربي أحدا,0
17,18,1,1,بسم الله الرحمن الرحيم,19,65,رب السماوات والأرض وما بينهما فاعبده واصطبر لعبادته هل تعلم له سميا,0
18,19,1,1,بسم الله الرحمن الرحيم,20,5,الرحمن على العرش استوى,1
19,20,1,1,بسم الله الرحمن الرحيم,23,88,قل من بيده ملكوت كل شيء وهو يجير ولا يجار عليه إن كنتم تعلمون,0
20,21,1,1,بسم الله الرحمن الرحيم,25,59,الذي خلق السماوات والأرض وما بينهما في ستة أيام ثم استوى على العرش الرحمن فاسأل به خبيرا,0
21,22,1,1,بسم الله الرحمن الرحيم,25,60,وإذا قيل لهم اسجدوا للرحمن قالوا وما الرحمن أنسجد لما تأمرنا وزادهم نفورا,1
22,23,1,1,بسم الله الرحمن الرحيم,33,43,هو الذي يصلي عليكم وملائكته ليخرجكم من الظلمات إلى النور وكان بالمؤمنين رحيما,0
23,24,1,1,بسم الله الرحمن الرحيم,43,45,واسأل من أرسلنا من قبلك من رسلنا أجعلنا من دون الرحمن آلهة يعبدون,1
24,25,1,1,بسم الله الرحمن الرحيم,43,84,وهو الذي في السماء إله وفي الأرض إله وهو الحكيم العليم,0
25,26,1,1,بسم الله الرحمن الرحيم,55,78,تبارك اسم ربك ذي الجلال والإكرام,1
26,27,1,1,بسم الله الرحمن الرحيم,56,74,فسبح باسم ربك العظيم,1
27,28,1,1,بسم الله الرحمن الرحيم,59,22,هو الله الذي لا إله إلا هو عالم الغيب والشهادة هو الرحمن الرحيم,0
28,29,1,1,بسم الله الرحمن الرحيم,59,23,هو الله الذي لا إله إلا هو الملك القدوس السلام المؤمن المهيمن العزيز الجبار المتكبر سبحان الله عما يشركون,1
29,30,1,1,بسم الله الرحمن الرحيم,59,24,هو الله الخالق البارئ المصور له الأسماء الحسنى يسبح له ما في السماوات والأرض وهو العزيز الحكيم,1
30,31,1,1,بسم الله الرحمن الرحيم,76,2,إنا خلقنا الإنسان من نطفة أمشاج نبتليه فجعلناه سميعا بصيرا,0
31,32,1,1,بسم الله الرحمن الرحيم,96,1,اقرأ باسم ربك الذي خلق,2
